"","Algoritmo","input_size","Tiempo","cte_tiempo","Memoria","cte_memoria"
"1","Fill",1000,"163.207","0.163207","0",0
"2","Fill",10000,"2132.2761","0.21323118","0",0
"3","Fill",20000,"4674.8963","0.23374499","0",0
"4","Fill",30000,"7206.3393","0.2402098","0",0
"5","Fill",100000,"24830.0854","0.248301204","0",0
"6","Fill",200000,"86159.3465","0.430796489","0",0
"7","Fill",300000,"383996.333","1.27998765833333","0",0
"8","Fill",400000,"617825.3589","1.54456347525","1",1
"9","Fill",500000,"839104.2622","1.6782085912","0",0
