"","Algoritmo","input_size","Tiempo","cte_tiempo","Memoria","cte_memoria"
"1","For",1000,"2143.8884","2.1438965","0",0
"2","For",10000,"21179.1247","2.11790943","0",0
"3","For",20000,"42284.0247","2.11420006","0",0
"4","For",30000,"63629.4132","2.12097953333333","0",0
"5","For",100000,"213472.5756","2.134725884","0",0
"6","For",200000,"435631.4338","2.178156954","0",0
"7","For",300000,"654056.415","2.18018795333333","1",1
"8","For",400000,"873938.5385","2.18484623175","1",1
"9","For",500000,"1103782.1017","2.2075997782","1",1
