"","Algoritmo","input_size","Tiempo","cte_tiempo","Memoria","cte_memoria"
"1","CopyX2",1000,"652.692","0.652692","0",0
"2","CopyX2",10000,"3666.9472","0.3666987","0",0
"3","CopyX2",20000,"7452.7923","0.372639845","0",0
"4","CopyX2",30000,"10298.7435","0.343289883333333","0",0
"5","CopyX2",100000,"33066.2685","0.330662989","0",0
"6","CopyX2",200000,"100706.7158","0.5035334785","0",0
"7","CopyX2",300000,"440362.6599","1.46787564933333","0",0
"8","CopyX2",400000,"741749.5588","1.85437397325","1",1
"9","CopyX2",500000,"1004221.1695","2.0083997608","1",1
