"","Algoritmo","input_size","Tiempo","cte_tiempo","Memoria","cte_memoria"
"1","Enumerable",1000,"2983.9065","2.9838944","4056","3.96"
"2","Enumerable",10000,"30432.3016","3.04322868","40056","3.912"
"3","Enumerable",20000,"53873.8422","2.693689905","80056","3.909"
"4","Enumerable",30000,"76483.8884","2.54946344","120069","3.90833333333333"
"5","Enumerable",100000,"262691.8237","2.626917901","400098","3.9072"
"6","Enumerable",200000,"761494.5873","3.8074730315","800140","3.90695"
"7","Enumerable",300000,"1305130.6175","4.35033297766667","1200827","3.83333333333333"
"8","Enumerable",400000,"1999205.5546","4.9979997205","1600722","3.825"
"9","Enumerable",500000,"2567251.887","5.134599781","2000596","3.82"
