"","Algoritmo","input_size","Tiempo","cte_tiempo","Memoria","cte_memoria"
"1","BufferCopy",1000,"167.6624",0.1676624,"0",0
"2","BufferCopy",10000,"850.7533",0.08507533,"0",0
"3","BufferCopy",20000,"1927.8498",0.09639,"0",0
"4","BufferCopy",30000,"2888.4957",0.0962833333333333,"0",0
"5","BufferCopy",100000,"11238.2024",0.112382,"0",0
"6","BufferCopy",200000,"24943.2837",0.1247165,"0",0
"7","BufferCopy",300000,"40415.6605",0.134719,"0",0
"8","BufferCopy",400000,"55836.1041",0.13959025,"0",0
"9","BufferCopy",500000,"71758.6866",0.1435174,"0",0
