"","Algoritmo","input_size","Tiempo","cte_tiempo","Memoria","cte_memoria"
"1","Enumerable",1000,"410.6083",0.4106083,"4056",3.96
"2","Enumerable",10000,"4268.4769",0.42684995,"40056",3.912
"3","Enumerable",20000,"8863.0464",0.44315,"80056",3.909
"4","Enumerable",30000,"18194.606",0.606486666666667,"120081",3.909
"5","Enumerable",100000,"60325.6829",0.603256937,"400140",3.9076
"6","Enumerable",200000,"161760.5144",0.8088025,"800224",3.90735
"7","Enumerable",300000,"274691.6719",0.915639,"1200934",3.83333333333333
"8","Enumerable",400000,"526201.711",1.31550425,"1600224",3.825
"9","Enumerable",500000,"612715.7922",1.2254315938,"2000270",3.82
